iter	Passed	Remaining
405	7577	11086
406	7596	11068
407	7616	11051
408	7636	11035
409	7653	11014
410	7672	10995
411	7692	10978
412	7709	10957
413	7728	10939
414	7746	10919
415	7766	10902
416	7784	10883
417	7804	10866
418	7822	10847
419	7841	10829
420	7862	10813
421	7887	10803
422	7906	10785
423	7923	10763
424	7941	10743
425	7957	10722
426	7977	10705
427	7999	10690
428	8017	10671
429	8037	10654
430	8056	10636
431	8074	10616
432	8095	10600
433	8115	10583
434	8132	10563
435	8149	10541
436	8165	10520
437	8182	10498
438	8202	10481
439	8218	10460
440	8234	10437
441	8254	10420
442	8274	10403
443	8289	10380
444	8306	10359
445	8321	10337
446	8337	10315
447	8354	10293
448	8371	10272
449	8387	10251
450	8407	10234
451	8423	10212
452	8440	10192
453	8456	10170
454	8473	10150
455	8489	10127
456	8503	10103
457	8519	10082
458	8543	10069
459	8563	10052
460	8579	10031
461	8596	10010
462	8612	9989
463	8630	9969
464	8645	9947
465	8663	9927
466	8682	9909
467	8707	9898
468	8728	9881
469	8745	9862
470	8760	9839
471	8775	9816
472	8791	9795
473	8807	9773
474	8827	9757
475	8845	9737
476	8866	9721
477	8885	9703
478	8900	9680
479	8915	9658
480	8932	9638
481	8949	9618
482	8968	9599
483	8986	9580
484	9005	9562
485	9023	9543
486	9044	9527
487	9068	9514
488	9086	9495
489	9104	9476
490	9122	9456
491	9141	9439
492	9159	9419
493	9174	9396
494	9189	9375
495	9207	9355
496	9223	9335
497	9243	9317
498	9265	9302
499	9280	9280
500	9295	9258
501	9309	9235
502	9324	9213
503	9340	9192
504	9358	9172
505	9380	9157
506	9396	9137
507	9413	9116
508	9430	9096
509	9447	9076
510	9465	9057
511	9481	9037
512	9496	9015
513	9515	8997
514	9534	8979
515	9556	8963
516	9573	8943
517	9588	8922
518	9604	8900
519	9621	8881
520	9638	8861
521	9656	8842
522	9673	8823
523	9695	8807
524	9717	8792
525	9737	8775
526	9757	8757
527	9774	8737
528	9793	8719
529	9809	8698
530	9825	8678
531	9842	8658
532	9862	8640
533	9883	8624
534	9901	8606
535	9917	8585
536	9934	8565
537	9950	8545
538	9968	8526
539	9989	8509
540	10008	8491
541	10031	8476
542	10056	8463
543	10081	8450
544	10105	8436
545	10126	8420
546	10147	8403
547	10171	8389
548	10193	8374
549	10220	8362
550	10242	8346
551	10263	8329
552	10283	8312
553	10300	8292
554	10315	8270
555	10331	8250
556	10346	8229
557	10365	8210
558	10386	8194
559	10406	8176
560	10422	8156
561	10441	8137
562	10458	8117
563	10474	8097
564	10491	8077
565	10506	8056
566	10521	8034
567	10537	8014
568	10556	7996
569	10572	7975
570	10587	7954
571	10602	7933
572	10616	7911
573	10632	7890
574	10647	7869
575	10661	7848
576	10677	7827
577	10694	7808
578	10714	7790
579	10732	7771
580	10749	7751
581	10766	7732
582	10786	7715
583	10807	7698
584	10831	7683
585	10853	7667
586	10879	7654
587	10909	7644
588	10956	7645
589	10989	7636
590	11026	7630
591	11054	7618
592	11088	7610
593	11114	7596
594	11154	7592
595	11199	7591
596	11237	7586
597	11269	7575
598	11291	7559
599	11311	7540
600	11331	7523
601	11354	7506
602	11376	7489
603	11397	7472
604	11420	7456
605	11439	7437
606	11456	7417
607	11477	7399
608	11501	7384
609	11523	7367
610	11546	7351
611	11568	7334
612	11592	7318
613	11617	7303
614	11638	7285
615	11659	7268
616	11683	7252
617	11704	7234
618	11722	7215
619	11740	7195
620	11760	7177
621	11776	7156
622	11792	7135
623	11808	7115
624	11826	7096
625	11845	7076
626	11857	7054
627	11873	7033
628	11890	7013
629	11913	6996
630	11933	6978
631	11949	6957
632	11964	6936
633	11978	6915
634	11993	6894
635	12008	6872
636	12024	6852
637	12044	6833
638	12063	6815
639	12082	6796
640	12099	6776
641	12117	6757
642	12134	6737
643	12150	6716
644	12167	6696
645	12181	6675
646	12197	6654
647	12220	6638
648	12239	6619
649	12258	6600
650	12273	6579
651	12288	6558
652	12303	6537
653	12317	6516
654	12332	6495
655	12347	6475
656	12361	6453
657	12377	6433
658	12394	6413
659	12412	6394
660	12428	6374
661	12445	6354
662	12462	6334
663	12477	6313
664	12492	6292
665	12506	6272
666	12523	6252
667	12539	6232
668	12558	6213
669	12579	6195
670	12596	6176
671	12611	6155
672	12625	6134
673	12640	6113
674	12655	6093
675	12671	6073
676	12685	6052
677	12700	6031
678	12715	6011
679	12733	5992
680	12751	5972
681	12767	5953
682	12783	5933
683	12798	5912
684	12813	5892
685	12827	5871
686	12843	5851
687	12859	5831
688	12876	5812
689	12899	5795
690	12916	5775
691	12931	5755
692	12947	5735
693	12963	5715
694	12978	5695
695	12994	5675
696	13009	5655
697	13024	5635
698	13040	5615
699	13063	5598
700	13083	5580
701	13099	5560
702	13115	5540
703	13130	5520
704	13146	5501
705	13161	5480
706	13180	5462
707	13198	5443
708	13217	5425
709	13235	5406
710	13252	5386
711	13269	5367
712	13284	5347
713	13299	5327
714	13314	5307
715	13329	5287
716	13344	5266
717	13359	5246
718	13375	5227
719	13393	5208
720	13414	5190
721	13432	5172
722	13447	5152
723	13463	5132
724	13480	5113
725	13497	5094
726	13514	5075
727	13530	5055
728	13553	5038
729	13574	5020
730	13593	5002
731	13609	4982
732	13626	4963
733	13645	4945
734	13663	4926
735	13686	4909
736	13707	4891
737	13731	4874
738	13753	4857
739	13776	4840
740	13801	4823
741	13826	4807
742	13852	4791
743	13873	4773
744	13893	4755
745	13911	4736
746	13928	4717
747	13946	4698
748	13966	4680
749	13983	4661
750	14002	4642
751	14022	4624
752	14047	4607
753	14066	4589
754	14083	4570
755	14102	4551
756	14120	4532
757	14140	4514
758	14161	4496
759	14185	4479
760	14210	4462
761	14229	4444
762	14248	4425
763	14264	4406
764	14281	4387
765	14298	4367
766	14317	4349
767	14334	4330
768	14351	4310
769	14368	4291
770	14389	4273
771	14411	4256
772	14430	4237
773	14448	4218
774	14468	4200
775	14486	4181
776	14504	4162
777	14524	4144
778	14547	4127
779	14573	4110
780	14593	4092
781	14619	4075
782	14638	4056
783	14658	4038
784	14675	4019
785	14692	4000
786	14711	3981
787	14733	3963
788	14755	3945
789	14774	3927
790	14794	3909
791	14812	3890
792	14831	3871
793	14852	3853
794	14870	3834
795	14891	3816
796	14912	3798
797	14935	3780
798	14953	3761
799	14969	3742
800	14987	3723
801	15006	3704
802	15027	3686
803	15049	3668
804	15073	3651
805	15093	3632
806	15111	3614
807	15130	3595
808	15150	3576
809	15168	3558
810	15188	3539
811	15205	3520
812	15221	3501
813	15240	3482
814	15258	3463
815	15275	3444
816	15290	3424
817	15305	3405
818	15321	3386
819	15337	3366
820	15353	3347
821	15368	3327
822	15383	3308
823	15399	3289
824	15417	3270
825	15433	3251
826	15449	3231
827	15464	3212
828	15479	3193
829	15494	3173
830	15508	3153
831	15523	3134
832	15539	3115
833	15556	3096
834	15575	3077
835	15593	3059
836	15610	3039
837	15624	3020
838	15638	3001
839	15652	2981
840	15667	2962
841	15681	2942
842	15697	2923
843	15712	2904
844	15729	2885
845	15749	2866
846	15765	2847
847	15780	2828
848	15794	2809
849	15809	2789
850	15823	2770
851	15838	2751
852	15851	2731
853	15866	2712
854	15881	2693
855	15902	2675
856	15921	2656
857	15935	2637
858	15950	2618
859	15964	2598
860	15979	2579
861	15994	2560
862	16008	2541
863	16023	2522
864	16038	2503
865	16054	2484
866	16071	2465
867	16088	2446
868	16106	2428
869	16122	2409
870	16140	2390
871	16158	2371
872	16176	2353
873	16191	2334
874	16208	2315
875	16223	2296
876	16241	2277
877	16258	2259
878	16274	2240
879	16291	2221
880	16310	2203
881	16327	2184
882	16344	2165
883	16364	2147
884	16382	2128
885	16400	2110
886	16420	2091
887	16441	2073
888	16458	2055
889	16477	2036
890	16494	2017
891	16512	1999
892	16530	1980
893	16547	1962
894	16567	1943
895	16588	1925
896	16607	1907
897	16628	1888
898	16648	1870
899	16664	1851
900	16681	1832
901	16698	1814
902	16715	1795
903	16733	1777
904	16753	1758
905	16771	1740
906	16789	1721
907	16808	1703
908	16825	1684
909	16842	1665
910	16863	1647
911	16881	1628
912	16903	1610
913	16922	1592
914	16938	1573
915	16953	1554
916	16969	1535
917	16988	1517
918	17005	1498
919	17021	1480
920	17038	1461
921	17055	1442
922	17079	1424
923	17097	1406
924	17116	1387
925	17141	1369
926	17160	1351
927	17176	1332
928	17193	1314
929	17208	1295
930	17225	1276
931	17244	1258
932	17263	1239
933	17280	1221
934	17299	1202
935	17318	1184
936	17337	1165
937	17353	1147
938	17372	1128
939	17393	1110
940	17416	1091
941	17494	1077
942	17527	1059
943	17545	1040
944	17567	1022
945	17587	1003
946	17605	985
947	17623	966
948	17641	948
949	17658	929
950	17702	912
951	17743	894
952	17776	876
953	17804	858
954	17832	840
955	17854	821
956	17875	803
957	17895	784
958	17914	765
959	17931	747
960	17950	728
961	17965	709
962	17982	690
963	17998	672
964	18016	653
965	18030	634
966	18047	615
967	18067	597
968	18085	578
969	18101	559
970	18122	541
971	18143	522
972	18164	504
973	18181	485
974	18199	466
975	18221	448
976	18245	429
977	18264	410
978	18282	392
979	18305	373
980	18327	354
981	18346	336
982	18363	317
983	18382	298
984	18406	280
985	18424	261
986	18440	242
987	18457	224
988	18472	205
989	18487	186
990	18501	168
991	18515	149
992	18532	130
993	18548	111
994	18572	93
995	18593	74
996	18611	56
997	18626	37
998	18642	18
999	18656	0
